video_id,title,description,channel,published,views,likes,comments
NlauBgRUmWQ,Fenty Eaze Drop vs Glossier Perfecting Skin | honest review!!,"Skin tints are definitely the NEW trend. It's all about the natural look, so of course I had to compare my two favorite tints so far.",Sandy Santiago,2021-04-14T15:00:17Z,5493,111.0,28.0
Nrthsjdsbdw,"GLOSSIER Makeup REVIEW / Skin Tint, Boy Brow, Generation G and more","In this video, I review several makeup products from Glossier! PRODUCTS USED Glossier Skin Perfecting Tint Glossier ...",Mikaela South,2017-02-21T19:20:09Z,39013,282.0,30.0
bhS57fIh_q0,trying a full face of glossier ✩ first impression + review,"hi everyone!! thank you so much for watching my video about trying the infamous makeup brand, Glossier! i hope you all love it!",Nicole Diaz,2020-03-22T20:05:11Z,807,43.0,26.0
3MPNRjVpP9U,Glossier Brand Review-Dark skin,READ ME I'M IMPORTANT Alright I know I talk A LOT in this video but I wanted to do a thorough review. Here are some time ...,Jinv,2017-10-27T07:15:38Z,246,12.0,7.0
clIsoxmOmSI,6 SKIN TINTS Ranked Best To Worst For Mature Dry Skin (Minimalist Makeup Over 50),Don't *miss my tinted moisturizers video* Next   Tinted Moisturizer Best to Worst: https://youtu.be/MCJzngOfmWY: *SHOP ...,Beyond50Skin,2023-06-25T13:21:46Z,30802,847.0,78.0
RnExiYkMweM,Glossier Favourites | Revisiting My Top Makeup and Skincare Products List,Glossier has finally touched down in Australia at MECCA so I thought it was time to revisit and revise my favourites list (and share ...,Matilda on Video,2024-08-13T01:00:17Z,31738,1356.0,144.0
APtSC0lNlNw,"The Glossier Video | reviews + demos of skin tint, stretch concealer, cloud paint, g suit, &amp; more",My full face of Glossier has finally arrived! I give thoughts on the brand while demoing + reviewing nearly every makeup product ...,clove room,2023-06-30T20:00:03Z,325,39.0,14.0
Lc2yBkUTYfI,Glossier skin tint! #crueltyfree #makeup #vegan #veganmakeup #review,Tap link below for more info! https://bit.ly/41f622j Thankyou! #vegan #crueltyfree #makeup #veganmakeup #review #veganbeauty ...,Vegan Beaut,2023-05-08T09:08:58Z,2472,21.0,1.0
kbrLWdsurwM,"GLOSSIER | Perfecting Skin Tint swatched in shades G8, G7, G6, G5, G4, G3, G2, and G1 at Sephora",Glossier Perfecting Skin Tint: https://go.shopmy.us/p-1220149 Shop more of my favorite products here: ...,Caramel Swatches,2023-03-20T14:56:01Z,6098,73.0,
4I_OFvEliFo,Reviewing almost everything from Glossier! 😱 #makeupshorts #skincareshorts #glossier #shorts,,citizenglow,2023-03-16T00:05:10Z,86071,3258.0,48.0
SzRm-5AN0fE,GLOSSIER Skin Tint and Stretch Concealer REVIEW and Try On | Ankita Jain,"Hii, today I am reviewing the Glossier Perfecting Skin Tint and the Stretch Concealer as well as trying it on. I will take you along ...",Ankita Jain,2020-06-17T20:19:18Z,17635,290.0,52.0
bO0KZZCChbQ,"Glossier Review | Perfecting Skin Tint, Priming Moisturizer, &amp; Soothing Face Mist",Hello everyone and welcome back to my channel!! Today I review the Glossier brand and their best selling products. Do I love ...,Kelly Stanford,2016-11-15T18:00:02Z,706,9.0,14.0
K67paTu-r1s,Foundation Friday  Glossier  Perfecting Skin Tint #foundationfriday,glossier #foundationfriday #woc Hey y'all in this video you will see a 5min first impression of glossier perfecting skin tint in shade ...,Kaia,2023-04-28T14:07:25Z,1601,75.0,21.0
CXjnu3cdNF4,Glossier Skin Tint Review  | Shade G6 |,Hey guys! Hope you enjoyed the video :) Products Mentioned: Glossier Skintin in G6 My Foundation Shades: NARS Pure Radiant ...,Vigi Raj,2025-03-23T17:29:36Z,190,7.0,0.0
6THlaugyEf8,GLOSSIER CLOUD PAINT SWATCHES ☁️💜 #shorts #makeup #blush #glossier #beauty #swatches,,iya omaña,2023-01-20T10:26:41Z,62087,1513.0,13.0
aA652dnxkaE,YOU NEED TO SWATCH THIS FOUNDATION AT SEPHORA! #makeupshorts #beauty #glossier,,Alexis and Christina,2023-10-18T01:00:00Z,135329,7301.0,56.0
Sg6mwp3t2Hw,Glossier Skin Tint + Stretch Concealer | Trying New Shades,The one where I share my thoughts on the new shades of the glossier skin tint and stretch concealer. Missed the last video?,aleeza / stylishandliterate,2019-02-11T15:30:16Z,164218,2263.0,99.0
SJ7Rh22E_OE,Glossier Stretch Foundation &amp; Concealer Medium 1,Happy Fall Hello Skin! I've been loving the Glossier Stretch Foundation and concealer. It's giving skinn. This is a light to ...,Ana Reczynski,2023-09-21T19:45:58Z,3695,54.0,2.0
umJqWrIGZEs,What I Wish I Knew Before Buying Glossier (&amp; what to get instead),Glossier Boy Brow https://howl.me/cjfrrg7CUkN Glossier Perfecting Skin Tint https://howl.me/cjfrq1giy2T Mac Studio Radiance ...,Amanda Z,2023-03-03T15:21:36Z,61669,2008.0,369.0
yayZb_UxVKk,DOES THE GLOSSIER FOUNDATION ACTUALLY HAVE COVERAGE?!?!,SHOP GLOSSIER STRETCH FLUID FOUNDATION (Light 2) https://rstyle.me/+UG8ReM-AW01ihgQdt6xtyQ.,Morgan Turner,2023-08-24T15:12:11Z,90550,6532.0,71.0
9wqv23R46_g,Unleashing the Power of Glossier Concealer: Flawless Skin in Seconds! #glossier #makeup #concealer,,emilysjoyy,2023-03-07T22:50:37Z,15816,175.0,7.0
wVRfqYQJSdk,"Glossier Stretch Fluid Foundation on Acne-Prone, Textured, Oily Skin (Medium 4)","Glossier Stretch Fluid Foundation Review on Acne-Prone, Textured, Oily Skin* _The Glossier Stretch Fluid Foundation was gifted ...",Elle Chu,2023-08-28T11:00:46Z,25392,,26.0
in8jFgfXTUw,Glossier Skin Tint Review!,Hey y'all! In this video I do a review of a great glossier product!,Fearless Grace,2020-03-22T19:22:39Z,153,5.0,
cZMd7dEbw6M,Glossier Foundation Review Just Horrible,This Glossier Foundation review was just horrible. You can get a tinted moisturizer that's better then this foundation. So I'd say ...,CHRISTINA MARIE,2018-07-07T16:45:01Z,1501,16.0,12.0
1R7LAAg97so,glossier cloud paints unboxing &amp; review ⁺˳✧༚ // suumi,"welcome to my first video on this account! what with quarantine happening, I'll have lots of time to create content so subscribe to ...",suumi,2020-04-10T14:24:06Z,324,18.0,7.0
m18FRC9YKcY,Full Face of Glossier...is it worth your $$$? | my thoughts on every product!,glossier #glossierreview ✨ Click to subscribe to the channel! :https://bit.ly/3iZeRrl 00:00 Intro 00:25 Background of Glossier 01:16 ...,Haley Kim,2023-12-03T03:39:55Z,88374,2388.0,143.0
xBs2FP1hUBA,Glossier Customer Service Review | G10 Perfecting Skin Tint &amp; Stretch Concealer Try-On | Coupon Code,"If you'd like to give Glossier a try, use my link for 10% off of your order: https://re.glossier.com/e34c0a25 This is a follow up video ...",Unboxing a Brand,2019-04-14T05:14:37Z,4084,31.0,10.0
FAGUu7T2W4I,Glossier stretch balm concealer | very light 4 #glossier,"My first @glossier product didn't disappoint It's super creamy, buildable coverage, didn't really notice creasing and it just looks ...",Psannaua,2023-09-27T09:40:45Z,7372,93.0,8.0
FAGUu7T2W4I,Glossier stretch balm concealer | very light 4 #glossier,"My first @glossier product didn't disappoint It's super creamy, buildable coverage, didn't really notice creasing and it just looks ...",Psannaua,2023-09-27T09:40:45Z,7372,93.0,8.0
6AN4LaHRVa4,NEW MILANI  Glow Skin Tint - Light to Medium - Review - Glossier Dupe???,milanicosmetics #glow #skintint #glossierdupe #review Milani just DUPED Glossier Perfecting Skin Tint???? Oh I think so!,Ana Reczynski,2020-12-23T04:58:01Z,7434,246.0,54.0
5M76sUeWwX4,GLOSSIER CLOUD PAINT | REVIEW,My thoughts on the new Glossier cloud paint! ☁️ Check out the links below ↴ --CLOUD PAINT-- ...,Ella Erlich,2017-03-09T19:57:11Z,28712,308.0,28.0
tEIizhNZdU8,glossier STRETCH foundation review! #glossier #makeupreview,,hnh 🎀,2023-08-18T22:36:48Z,186865,12475.0,63.0
YwgWBwIoBu4,Glossier Skin tint and concealer review!,Hello this is a glossier skin tint and concealer review hope you enjoy it!,Kayla Aaliyah,2022-07-30T02:50:46Z,92,3.0,2.0
BzCDFbc3-3s,GLOSSIER ON ACNE PRONE SKIN | My Review,Products mentioned: Boy brow: brown Skin tint: g7 Stretch concealer: g7 cloud paint: haze Bronzer: physicians formula cream ...,SincerelySharon,2020-12-22T15:40:32Z,524,14.0,2.0
tkjE3Z10H3c,"BB cream &amp; skin tint review | Glossier, Ilia Beauty, Bali Body, Cover Girl",Instagram famous bb creams review and what I like and don't like. I am now uploading 2 times a week so make sure to subscribe!,Bea Torres Pereda,2020-11-17T17:00:15Z,840,9.0,5.0
